<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200108;121000;255.7600000;256.0800000;255.4700000;255.5400000;290020
GAZP;5;20200108;121500;255.5400000;255.6400000;255.4100000;255.5000000;449780
GAZP;5;20200108;122000;255.5000000;255.5300000;255.4100000;255.5000000;187980
GAZP;5;20200108;122500;255.5000000;255.5100000;255.3400000;255.3500000;179260
GAZP;5;20200108;123000;255.3500000;255.4300000;255.2200000;255.4200000;190100
GAZP;5;20200108;123500;255.3800000;255.5500000;255.3700000;255.5500000;87460
GAZP;5;20200108;124000;255.5500000;255.6100000;255.5000000;255.5900000;158680
GAZP;5;20200108;124500;255.5700000;255.5700000;255.2700000;255.3400000;323730
GAZP;5;20200108;125000;255.3400000;255.4000000;255.2600000;255.3300000;182610
GAZP;5;20200108;125500;255.3400000;255.4600000;255.2100000;255.2600000;344730
GAZP;5;20200108;130000;255.2600000;255.6600000;255.1800000;255.5500000;364620
GAZP;5;20200108;130500;255.5400000;255.6700000;255.2700000;255.4000000;194710
GAZP;5;20200108;131000;255.4200000;255.7500000;255.2900000;255.4800000;125910
GAZP;5;20200108;131500;255.4700000;255.5000000;255.3100000;255.4700000;150640
GAZP;5;20200108;132000;255.4100000;255.5600000;255.3600000;255.5000000;85320
GAZP;5;20200108;132500;255.4500000;255.7100000;255.3400000;255.5700000;130350
GAZP;5;20200108;133000;255.5900000;255.7500000;255.5100000;255.6300000;62460
GAZP;5;20200108;133500;255.6500000;255.7800000;255.6500000;255.6900000;62570
GAZP;5;20200108;134000;255.6700000;255.8600000;255.5500000;255.6200000;136850
GAZP;5;20200108;134500;255.6200000;256.1100000;255.5300000;255.6700000;358150
GAZP;5;20200108;135000;255.6700000;255.6700000;255.4600000;255.5000000;122440
GAZP;5;20200108;135500;255.5000000;255.6200000;255.4600000;255.5900000;49570
GAZP;5;20200108;140000;255.6100000;255.7000000;255.5000000;255.6000000;208690
GAZP;5;20200108;140500;255.5800000;255.6800000;255.4000000;255.5300000;211170
GAZP;5;20200108;141000;255.5400000;255.6300000;255.3700000;255.4500000;124570
GAZP;5;20200108;141500;255.4600000;255.5500000;255.4000000;255.4200000;52720
GAZP;5;20200108;142000;255.4100000;255.5800000;255.4000000;255.4400000;105050
GAZP;5;20200108;142500;255.4400000;255.4800000;255.3200000;255.3800000;139620
GAZP;5;20200108;143000;255.3800000;255.5200000;255.2500000;255.3200000;467680
GAZP;5;20200108;143500;255.3200000;255.3700000;255.1800000;255.2600000;597200
GAZP;5;20200108;144000;255.2600000;255.3200000;255.1600000;255.2400000;260800
GAZP;5;20200108;144500;255.2400000;255.3400000;255.1300000;255.2100000;176010
